                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1186,                 2.7171,                 1.5187,                0.00333,                      1,                0.45253,                0.28125,                0.55831,                 3.2909,                  1.173,                  8e-05,                  8e-05,                  8e-05
                      2,                0.92871,                 2.5278,                 1.4185,                0.00333,                      1,                0.93783,                0.67182,                0.54894,                 3.2401,                 1.2097,             0.00017911,             0.00017911,             0.00017911
                      3,                0.93164,                  1.888,                 1.4175,                0.00333,                      1,                0.83644,                0.53728,                0.77985,                 3.1815,                 1.4042,             0.00027723,             0.00027723,             0.00027723
                      4,                0.89806,                 1.5169,                  1.415,                0.00333,                      1,                0.68466,                0.45221,                0.71793,                 3.2831,                 1.2856,             0.00037436,             0.00037436,             0.00037436
                      5,                0.84536,                 1.5246,                 1.3165,                0.00333,                      1,                0.53711,                0.34132,                0.98594,                 3.3757,                  1.571,              0.0004705,              0.0004705,              0.0004705
                      6,                0.83166,                 1.4654,                 1.2828,                0.00333,                      1,                0.59264,                0.28717,                  1.074,                 3.4732,                 1.7323,             0.00056565,             0.00056565,             0.00056565
                      7,                0.86215,                  1.348,                 1.3448,                0.52186,                0.64286,                0.69937,                0.37558,                 1.2006,                 3.2055,                 1.8575,              0.0006598,              0.0006598,              0.0006598
                      8,                0.93025,                 1.4286,                 1.3739,                0.65454,                 0.6779,                0.68744,                0.42308,                 1.1122,                 3.1489,                 1.6793,             0.00075297,             0.00075297,             0.00075297
                      9,                0.91641,                 1.5157,                 1.3155,                0.00569,                      1,                0.65057,                0.33793,                 1.1692,                 3.2645,                  1.728,             0.00084515,             0.00084515,             0.00084515
                     10,                 1.0063,                 1.5545,                 1.4476,                0.55552,                0.64286,                0.60693,                0.23704,                 1.4639,                 3.4702,                 2.0301,             0.00093634,             0.00093634,             0.00093634
                     11,                0.99026,                 1.4174,                  1.374,                0.58647,                0.57143,                0.55275,                0.26024,                 1.6299,                 3.4421,                 2.0193,              0.0010265,              0.0010265,              0.0010265
                     12,                0.89195,                 1.3342,                 1.3163,                0.36329,                0.28532,                0.34812,                0.16359,                 1.9949,                 3.8738,                 2.2886,              0.0011157,              0.0011157,              0.0011157
                     13,                0.92191,                 1.3073,                 1.3177,                0.36603,                0.35714,                0.31304,                0.14691,                 1.6017,                 3.5619,                 1.9503,               0.001204,               0.001204,               0.001204
                     14,                0.81847,                 1.2372,                  1.223,                0.47774,                0.42857,                0.29436,                0.11248,                 1.9738,                 3.5569,                 3.1131,              0.0012912,              0.0012912,              0.0012912
                     15,                0.97915,                 1.3005,                 1.4021,                0.49562,                0.42857,                0.43871,                0.22741,                  1.868,                 3.5124,                 2.4933,              0.0013774,              0.0013774,              0.0013774
                     16,                0.90003,                  1.274,                 1.3029,                0.44833,                0.21429,                0.25366,                0.13916,                 2.2987,                 3.7271,                 2.9015,              0.0014627,              0.0014627,              0.0014627
                     17,                0.97308,                 1.2326,                 1.3709,                0.65587,                0.64286,                 0.7083,                0.35515,                 1.7677,                 2.7013,                 2.6026,              0.0015469,              0.0015469,              0.0015469
                     18,                0.97007,                 1.3212,                 1.4464,                0.90765,                0.70299,                0.78863,                0.47661,                 1.5713,                 2.2776,                  2.448,              0.0016302,              0.0016302,              0.0016302
                     19,                 0.9712,                  1.333,                 1.3394,                0.70697,                0.57143,                0.62754,                0.34204,                 1.5397,                 2.4539,                 2.4072,              0.0017125,              0.0017125,              0.0017125
                     20,                 1.0148,                 1.2401,                 1.4097,                0.87616,                0.35714,                0.49259,                0.22867,                 1.8417,                 3.4331,                 2.4832,              0.0017938,              0.0017938,              0.0017938
                     21,                 1.0264,                 1.2518,                 1.3855,                0.86791,                0.57143,                0.76628,                0.36466,                 1.4925,                 2.6161,                 2.1223,               0.001802,               0.001802,               0.001802
                     22,                  1.091,                 1.2271,                 1.4525,                 0.5941,                0.62811,                 0.6877,                0.38493,                 1.5071,                  2.786,                 2.3257,               0.001802,               0.001802,               0.001802
                     23,                 1.1867,                 1.4212,                 1.6102,                0.45401,                    0.5,                0.43408,                0.23998,                 1.5319,                 3.7468,                 2.3325,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.1137,                 1.3497,                 1.4958,                0.47839,                0.28571,                0.29016,                0.10455,                 2.1413,                 2.8721,                 2.7917,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.0994,                 1.3799,                 1.4666,                0.31825,                0.35714,                0.27863,                0.14666,                 2.1604,                 2.5813,                  2.634,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.1099,                 1.3026,                 1.4675,                0.44949,                0.21429,                0.27647,                0.14245,                  1.985,                 2.5601,                 2.4493,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.1545,                 1.4088,                 1.5393,                 0.2891,                0.40743,                 0.3178,                0.18141,                 2.1261,                 2.3666,                 2.9158,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.1237,                 1.2973,                 1.5134,                0.62283,                0.35714,                0.41526,                0.16385,                 1.9186,                 2.4333,                 2.5819,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.0387,                 1.2741,                 1.4187,                0.66964,                    0.5,                0.55404,                0.27405,                 1.7062,                 2.2043,                 2.3127,              0.0017327,              0.0017327,              0.0017327
                     30,                0.95954,                 1.1765,                 1.3276,                0.70619,                0.34501,                0.48265,                0.15438,                 2.0906,                  2.203,                 2.6433,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.0447,                 1.1635,                 1.3807,                0.21208,                0.42857,                0.22133,                0.10583,                 2.5392,                 2.6253,                 3.0029,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.1939,                 1.3605,                  1.535,                0.53334,                0.35714,                0.36356,                0.18997,                 2.1512,                 2.1289,                 2.6919,               0.001703,               0.001703,               0.001703
                     33,                 1.0741,                  1.218,                 1.4512,                0.39624,                0.21429,                  0.229,                0.11437,                 2.3842,                 2.8373,                 2.7046,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.0301,                 1.1796,                 1.4226,                0.49207,                0.14286,                0.16135,                0.07618,                 2.4665,                 3.3262,                 2.6677,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.0547,                 1.1813,                 1.3856,                0.05656,                0.21429,                0.02777,                 0.0117,                 2.3422,                 3.5489,                 2.6504,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.0307,                 1.1151,                 1.4013,                0.22168,                0.28571,                0.10279,                0.04839,                 2.3627,                 3.0655,                 2.7629,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.0958,                 1.1256,                 1.4781,                0.42725,                0.42857,                0.35697,                0.16001,                 2.2969,                 2.3959,                 2.8851,              0.0016535,              0.0016535,              0.0016535
                     38,                 1.0738,                 1.1085,                 1.3932,                0.64556,                    0.5,                0.60861,                 0.2947,                 1.8646,                 2.3686,                 2.4139,              0.0016436,              0.0016436,              0.0016436
                     39,                 1.0528,                 1.1786,                 1.4635,                0.61083,                    0.5,                0.54995,                0.27376,                 1.8581,                  1.883,                 2.3566,              0.0016337,              0.0016337,              0.0016337
                     40,                 1.0877,                 1.0938,                  1.394,                0.48912,                0.64286,                 0.5392,                0.23707,                  2.101,                 1.9922,                 2.6022,              0.0016238,              0.0016238,              0.0016238
                     41,                 1.0171,                 1.1139,                 1.4001,                0.47306,                0.64134,                0.47077,                0.18135,                 2.0087,                 2.2433,                 2.4706,              0.0016139,              0.0016139,              0.0016139
                     42,                0.97773,                 1.0664,                 1.3935,                0.40044,                0.42857,                0.42774,                0.12244,                 1.8195,                  2.486,                 2.2412,               0.001604,               0.001604,               0.001604
                     43,                0.98672,                 1.1409,                 1.4066,                0.27761,                0.42857,                0.32115,                0.11811,                 1.7963,                 2.3252,                 2.1851,              0.0015941,              0.0015941,              0.0015941
                     44,                  1.094,                  1.186,                 1.4946,                0.58907,                0.57143,                0.63544,                0.31974,                 1.5063,                 1.8553,                 2.1112,              0.0015842,              0.0015842,              0.0015842
                     45,                0.94064,                 1.0063,                 1.3402,                0.80407,                0.64286,                0.72549,                 0.3037,                  1.563,                  1.886,                 2.1436,              0.0015743,              0.0015743,              0.0015743
                     46,                 0.9719,                 1.0695,                 1.3523,                0.69287,                0.64286,                0.66388,                0.31271,                 1.4835,                 1.7976,                 2.1458,              0.0015644,              0.0015644,              0.0015644
                     47,                0.96055,                0.99009,                 1.3436,                0.60161,                0.64747,                0.62063,                0.28813,                 1.4866,                 1.8697,                  2.153,              0.0015545,              0.0015545,              0.0015545
                     48,                0.91474,                  1.009,                 1.3194,                0.53956,                0.75424,                 0.7502,                0.30174,                  1.553,                 1.9037,                 2.3727,              0.0015446,              0.0015446,              0.0015446
                     49,                0.95013,                0.94801,                 1.3673,                 0.6112,                0.78571,                0.72219,                0.37607,                 1.4437,                 1.8707,                 2.2241,              0.0015347,              0.0015347,              0.0015347
                     50,                0.91159,                0.97577,                 1.3399,                0.75757,                0.71429,                0.78578,                0.35679,                 1.6019,                 1.8408,                 2.3183,              0.0015248,              0.0015248,              0.0015248
                     51,                0.95924,                 1.0144,                 1.3734,                0.64416,                0.64678,                0.66377,                0.22917,                 2.0257,                 1.8615,                 2.8051,              0.0015149,              0.0015149,              0.0015149
                     52,                  1.073,                 1.1506,                  1.456,                0.42169,                    0.5,                0.38064,                0.17578,                 2.0828,                 2.1011,                 2.9121,               0.001505,               0.001505,               0.001505
